Old SKU,,New SKU,,
5M1038A-STD,ACL 5M1038A-STD,5M1038A-STD,STD?,ACL
5M1038A-10,ACL 5M1038A-10,5M1038A-10,,
5M1038A-20,ACL 5M1038A-20,5M1038A-20,,
5M1038A-30,ACL 5M1038A-30,5M1038A-30,,
5M1038H-STD,ACL 5M1038H-STD,5M1038H-STD,STD?,
5M1038H-10,ACL 5M1038H-10,5M1038H-10,,
5M1038P-30,ACL 5M1038P-30,5M1038P-30,,
5M429A-STD,ACL 5M429A-STD,5M429A-STD,STD?,
5M429A-10,ACL 5M429A-10,5M429A-10,,
5M429A-20,ACL 5M429A-20,5M429A-20,,
5M429A-30,ACL 5M429A-30,5M429A-30,,
5M590A-STD,ACL 5M590A-STD,5M590A-STD,STD?,
5M590A-10,ACL 5M590A-10,5M590A-10,,
5M590A-20,ACL 5M590A-20,5M590A-20,,
5M590A-30,ACL 5M590A-30,5M590A-30,,
5M590P-STD,ACL 5M590P-STD,5M590P-STD,STD?,
5M590P-30,ACL 5M590P-30,5M590P-30,,
5M829A-STD,ACL 5M829A-STD,5M829A-STD,STD?,
5M829A-10,ACL 5M829A-10,5M829A-10,,
5M829A-20,ACL 5M829A-20,5M829A-20,,
5M909A-STD,ACL 5M909A-STD,5M909A-STD,STD?,
5M909A-10,ACL 5M909A-10,5M909A-10,,
5M909A-20,ACL 5M909A-20,5M909A-20,,
5M909A-30,ACL 5M909A-30,5M909A-30,,
5M909H-STD,ACL 5M909H-STD,5M909H-STD,STD?,
5M909H-10,ACL 5M909H-10,5M909H-10,,
5M909H-20,ACL 5M909H-20,5M909H-20,,
5M909P-10,ACL 5M909P-10,5M909P-10,,
5M909P-20,ACL 5M909P-20,5M909P-20,,
5M909P-30,ACL 5M909P-30,5M909P-30,,
5M909P-STD,ACL 5M909P-STD,5M909P-STD,GOOD,
8B527A-20,ACL 8B527A-20,8B527A-20,,
8B634P-STD,ACL 8B634P-STD,8B634P-STD,STD?,
8B663A-STD,ACL 8B663A-STD,8B663A-STD,STD?,
8B663A-10,ACL 8B663A-10,8B663A-10,,
8B663A-20,ACL 8B663A-20,8B663A-20,,
8B663A-30,ACL 8B663A-30,8B663A-30,,
8B663H-STD,ACL 8B663H-STD,8B663H-STD,STD?,
8B663H-10,ACL 8B663H-10,8B663H-10,,
8B663H-20,ACL 8B663H-20,8B663H-20,,
8B663P-STD,ACL 8B663P-STD,8B663P-STD,STD?,
8B663P-10,ACL 8B663P-10,8B663P-10,,
8B663P-20,ACL 8B663P-20,8B663P-20,,
8B663P-30,ACL 8B663P-30,8B663P-30,,
8B743A-STD,ACL 8B743A-STD,8B743A-STD,STD?,
8B743A-10,ACL 8B743A-10,8B743A-10,,
8B743A-20,ACL 8B743A-20,8B743A-20,,
8B743P-STD,ACL 8B743P-STD,8B743P-STD,STD?,
8B743P-30,ACL 8B743P-30,8B743P-30,,
8B745A-10,ACL 8B745A-10,8B745A-10,,
8B745A-20,ACL 8B745A-20,8B745A-20,,
8B745A-30,ACL 8B745A-30,8B745A-30,,
