"PLC"	"PartNumber"
"BAS"	"57R53CL"
"BAS"	"57R53SL"
"FRA"	"497208-BL"
"FRA"	"497210-BL"
"FRA"	"497211-BL"
"FRA"	"497308-BL"
"FRA"	"497310-BL"
"FRA"	"499306-BL"
"FRA"	"499307-BL"
"FRA"	"499344-BL"
"KEB"	"CR 807SI 2"
"KEB"	"CR 807SI 20"
"KEB"	"CR 807SI 30"
"KEB"	"CR 807SI 40"
"KEB"	"CR 807SI 50"
"KEB"	"CR 807SI 60"
"KEB"	"CR 807SI010X"
"KEB"	"CR 807SISTDX"
"KMJ"	"AA-098-A-25KIT"
"KMJ"	"LZ-18-D-10KIT"
"KMJ"	"LZ-18-D-25KIT"
"KMJ"	"LZ-18-D-5KIT"
"SAG"	"78151T-9C"
"SAG"	"78151T-9CR"
"SAG"	"78151T-9G"
"SAG"	"78151T-9R"
